channel_id,channel_title,custom_url,channel_url,country,channel_published_at,uploads_playlist_id,last_seen_utc
UCJy0lX8ThZ7lCtst7JnegWQ,Jojol,@jojol,https://www.youtube.com/channel/UCJy0lX8ThZ7lCtst7JnegWQ,FR,2009-04-10T11:13:56Z,UUJy0lX8ThZ7lCtst7JnegWQ,2026-01-31 15:50:36
UCM6kUx3GI7lTQlqMBiumaEg,technofou,@technofou,https://www.youtube.com/channel/UCM6kUx3GI7lTQlqMBiumaEg,CA,2019-02-09T15:59:29Z,UUM6kUx3GI7lTQlqMBiumaEg,2026-01-31 15:50:36
UCMWAxO0xGJxELkiX5_pEJNA,Pannacophone - Smartphone & Tech,@pannacophone,https://www.youtube.com/channel/UCMWAxO0xGJxELkiX5_pEJNA,FR,2022-03-16T14:00:28.62162Z,UUMWAxO0xGJxELkiX5_pEJNA,2026-01-31 15:50:36
UCMWWgqykXE5exHk60TCZ-bw,Yukio_Clyks,@yukio_clyks,https://www.youtube.com/channel/UCMWWgqykXE5exHk60TCZ-bw,FR,2018-01-14T14:18:27Z,UUMWWgqykXE5exHk60TCZ-bw,2026-01-31 15:50:36
UCMc7IaTDRDtxftK9v0aXVqA,Yada 2.0,@yada2.0,https://www.youtube.com/channel/UCMc7IaTDRDtxftK9v0aXVqA,,2022-07-22T21:35:02.665945Z,UUMc7IaTDRDtxftK9v0aXVqA,2026-01-31 15:50:36
UCMwkAK-lhEeLld9xLiyKLMg,Captain Grochat,@captaingrochat,https://www.youtube.com/channel/UCMwkAK-lhEeLld9xLiyKLMg,FR,2016-08-27T17:10:16Z,UUMwkAK-lhEeLld9xLiyKLMg,2026-01-31 15:50:36
UCNOUTy_TWRJzAaSfIGserkg,Nowtech Replay (Le Mug Nowtech),@nowtechreplay,https://www.youtube.com/channel/UCNOUTy_TWRJzAaSfIGserkg,FR,2022-08-23T08:25:30.215852Z,UUNOUTy_TWRJzAaSfIGserkg,2026-01-31 15:50:36
UCNWE4ouC-BxzJ-Lomuuqb1Q,Isma(ël),@dleamsi,https://www.youtube.com/channel/UCNWE4ouC-BxzJ-Lomuuqb1Q,,2017-11-11T14:55:07Z,UUNWE4ouC-BxzJ-Lomuuqb1Q,2026-01-31 15:50:36
UCNiauGTV7XhkOpUAIXod4xA,Léo Duff,@leoduff,https://www.youtube.com/channel/UCNiauGTV7XhkOpUAIXod4xA,FR,2011-01-13T20:17:53Z,UUNiauGTV7XhkOpUAIXod4xA,2026-01-31 15:50:36
UCNzUonmxxvG-HIqOC3S7Thw,VAC - Vulgarisateur Apple et compagnie,@appetco,https://www.youtube.com/channel/UCNzUonmxxvG-HIqOC3S7Thw,CA,2015-11-05T02:09:04Z,UUNzUonmxxvG-HIqOC3S7Thw,2026-01-31 15:50:36
UCO14QTmfRbe9j9PTJsAhtLQ,PΔX,@paxpc,https://www.youtube.com/channel/UCO14QTmfRbe9j9PTJsAhtLQ,FR,2020-11-24T12:57:59.397195Z,UUO14QTmfRbe9j9PTJsAhtLQ,2026-01-31 15:50:36
UCOCoKBUmALR6d7UW_s5zgrA,Arnaud C.,@arnaudc88,https://www.youtube.com/channel/UCOCoKBUmALR6d7UW_s5zgrA,FR,2017-01-14T22:26:33Z,UUOCoKBUmALR6d7UW_s5zgrA,2026-01-31 15:50:36
UCOaX4zvPzmv0eBbUWOOOB_A,TopAchat,@topachat,https://www.youtube.com/channel/UCOaX4zvPzmv0eBbUWOOOB_A,FR,2009-12-03T17:45:17Z,UUOaX4zvPzmv0eBbUWOOOB_A,2026-01-31 15:50:36
UCOm_kuKVb4ImX_DHpIgX_zg,Skinn's Tech Deals,@skinnstechdeals,https://www.youtube.com/channel/UCOm_kuKVb4ImX_DHpIgX_zg,FR,2024-10-27T14:20:59.009579Z,UUOm_kuKVb4ImX_DHpIgX_zg,2026-01-31 15:50:36
UCOtM8pxxBIfwqu6e8mHgUEQ,TheiMika,@theimika,https://www.youtube.com/channel/UCOtM8pxxBIfwqu6e8mHgUEQ,FR,2009-04-25T16:31:47Z,UUOtM8pxxBIfwqu6e8mHgUEQ,2026-01-31 15:50:36
UCOyUCj6Wx9skJggzZFUDZyA,Unlock Talk,@unlocktalk,https://www.youtube.com/channel/UCOyUCj6Wx9skJggzZFUDZyA,FR,2024-06-18T12:41:38.895137Z,UUOyUCj6Wx9skJggzZFUDZyA,2026-01-31 15:50:36
UCP5-zNhWXk_LUPIJpxtrTnQ,Cowcotland,@cowcotland,https://www.youtube.com/channel/UCP5-zNhWXk_LUPIJpxtrTnQ,FR,2010-02-15T10:56:44Z,UUP5-zNhWXk_LUPIJpxtrTnQ,2026-01-31 15:50:36
UCPP-NkzSqMJ9ywhJkcgrpAw,Tech_Sama,@techsama,https://www.youtube.com/channel/UCPP-NkzSqMJ9ywhJkcgrpAw,,2014-08-26T16:50:51Z,UUPP-NkzSqMJ9ywhJkcgrpAw,2026-01-31 15:50:36
UCPQsSFJurluaMOG1qL0Y7sA,PP World,@ppworld,https://www.youtube.com/channel/UCPQsSFJurluaMOG1qL0Y7sA,FR,2015-09-08T21:24:22Z,UUPQsSFJurluaMOG1qL0Y7sA,2026-01-31 15:50:36
UCQSA6pCffm7epqxFqouL0Xg,Mathis et Gauthier,@mathisetgauthier,https://www.youtube.com/channel/UCQSA6pCffm7epqxFqouL0Xg,FR,2017-07-23T23:17:11Z,UUQSA6pCffm7epqxFqouL0Xg,2026-01-31 15:50:36
UCQZa27_VXLUowoMsYo6Y0Dw,bazze tv,@bazzetv,https://www.youtube.com/channel/UCQZa27_VXLUowoMsYo6Y0Dw,FR,2020-11-09T13:25:40.772275Z,UUQZa27_VXLUowoMsYo6Y0Dw,2026-01-31 15:50:36
UCQigF3tZJJlt6o1_tkYKkNQ,KAPPA Studio,@kappa-studio,https://www.youtube.com/channel/UCQigF3tZJJlt6o1_tkYKkNQ,FR,2019-12-04T09:27:03.959162Z,UUQigF3tZJJlt6o1_tkYKkNQ,2026-01-31 15:50:36
UCQsb5TqYUeGWGpJFr8DMWsQ,ANONIMAL,@anonimalll,https://www.youtube.com/channel/UCQsb5TqYUeGWGpJFr8DMWsQ,FR,2012-09-15T20:24:42Z,UUQsb5TqYUeGWGpJFr8DMWsQ,2026-01-31 15:50:36
UCQvNFAufGf8mtN2_L8thysg,Journal du Geek,@journaldugeek,https://www.youtube.com/channel/UCQvNFAufGf8mtN2_L8thysg,FR,2006-08-14T09:05:49Z,UUQvNFAufGf8mtN2_L8thysg,2026-01-31 15:50:36
UCR-4Ge4NbqILG5HTTvs_nFQ,Lysandre_lbd,@lysandrelbd,https://www.youtube.com/channel/UCR-4Ge4NbqILG5HTTvs_nFQ,FR,2016-11-01T12:19:05Z,UUR-4Ge4NbqILG5HTTvs_nFQ,2026-01-31 15:50:36
UCR3uoYsbRO_S0wg2DaSlb8g,Wondershare Français,@wondershare_fr,https://www.youtube.com/channel/UCR3uoYsbRO_S0wg2DaSlb8g,FR,2014-11-06T06:21:32Z,UUR3uoYsbRO_S0wg2DaSlb8g,2026-01-31 15:50:36
UCRI5foOTNz6DuVz3SVQ1cMA,Tao Gassin,@taogassin,https://www.youtube.com/channel/UCRI5foOTNz6DuVz3SVQ1cMA,FR,2016-06-24T17:31:08Z,UURI5foOTNz6DuVz3SVQ1cMA,2026-01-31 15:50:36
UCRhyS_ylPQ5GWBl1lK92ftA,Léo - TechMaker,@leotechmaker,https://www.youtube.com/channel/UCRhyS_ylPQ5GWBl1lK92ftA,FR,2015-11-23T00:31:45Z,UURhyS_ylPQ5GWBl1lK92ftA,2026-01-31 15:50:36
UCSPoCan8_9ELmqEVS2hUHPA,iVax,@ivax_yt,https://www.youtube.com/channel/UCSPoCan8_9ELmqEVS2hUHPA,FR,2013-06-07T05:36:39Z,UUSPoCan8_9ELmqEVS2hUHPA,2026-01-31 15:50:36
UCSYFVeBI66YqDhGrYKxiCUQ,Georges,@georges_design,https://www.youtube.com/channel/UCSYFVeBI66YqDhGrYKxiCUQ,FR,2018-06-27T09:16:41Z,UUSYFVeBI66YqDhGrYKxiCUQ,2026-01-31 15:50:36
UCT9QoBXRO1_z1f-Ud97RxPg,Norizon,@norizon224,https://www.youtube.com/channel/UCT9QoBXRO1_z1f-Ud97RxPg,FR,2023-07-18T12:43:07.65501Z,UUT9QoBXRO1_z1f-Ud97RxPg,2026-01-31 15:50:36
UCTER7XOnDvSRbI2YxikLaVw,RTBF iXPé,@rtbfixpe,https://www.youtube.com/channel/UCTER7XOnDvSRbI2YxikLaVw,BE,2020-11-10T15:21:40.163196Z,UUTER7XOnDvSRbI2YxikLaVw,2026-01-31 15:50:36
UCTG26Ngiphy9TCOejxGfShQ,R-Tech,@r-tech-chaine,https://www.youtube.com/channel/UCTG26Ngiphy9TCOejxGfShQ,,2025-04-26T08:45:41.27366Z,UUTG26Ngiphy9TCOejxGfShQ,2026-01-31 15:50:36
UCTKa4DGeCFeThot6rcRqNow,TechnoïdFR,@technoidfr,https://www.youtube.com/channel/UCTKa4DGeCFeThot6rcRqNow,FR,2013-02-26T18:04:33Z,UUTKa4DGeCFeThot6rcRqNow,2026-01-31 15:50:36
UCTOAKgwfqqCbOytF3RNGGVw,Monsieur GRrr,@monsieurgrrr,https://www.youtube.com/channel/UCTOAKgwfqqCbOytF3RNGGVw,FR,2015-06-15T19:43:35Z,UUTOAKgwfqqCbOytF3RNGGVw,2026-01-31 15:50:36
UCTmHRe6W96WgYlUNxcokpVQ,Fitfitzone,@fitfitzone,https://www.youtube.com/channel/UCTmHRe6W96WgYlUNxcokpVQ,BE,2025-05-12T12:34:18.086948Z,UUTmHRe6W96WgYlUNxcokpVQ,2026-01-31 15:50:36
UCU8_onYYhNxwGUB3hA34C4Q,FrenchHardware,@frhardware,https://www.youtube.com/channel/UCU8_onYYhNxwGUB3hA34C4Q,FR,2016-05-03T19:19:34Z,UUU8_onYYhNxwGUB3hA34C4Q,2026-01-31 15:50:36
UCUD3E77YRTGK3yPSDB6Kq5Q,Monsport06,@monsport06,https://www.youtube.com/channel/UCUD3E77YRTGK3yPSDB6Kq5Q,FR,2018-01-24T22:47:52Z,UUUD3E77YRTGK3yPSDB6Kq5Q,2026-01-31 15:50:36
UCURjynFkZicGPbIIaWO9vmQ,Benji TV,@benjitv-fr,https://www.youtube.com/channel/UCURjynFkZicGPbIIaWO9vmQ,FR,2019-02-13T16:58:31Z,UUURjynFkZicGPbIIaWO9vmQ,2026-01-31 15:50:36
